SortOrder,RoundNo,HomeTeam,AwayTeam,MatchDate,StartTime,EndTime,Location,Field
0,1,TB_04,TB_07,2025-03-01,09:00,10:30,Aptos,Field 1
1,1,Juniors_AL_02,Juniors_AL_01,2025-03-01,09:00,12:00,Moscone,D4
2,1,Majors_NL_08,Majors_AL_01,2025-03-01,09:00,11:30,Ketcham,Field 1
3,1,TB_10,TB_03,2025-03-01,09:00,10:30,Larsen,Field 1
4,1,AAA_AL_02,AAA_NL_06,2025-03-01,09:00,11:30,Tepper,Field 1
5,1,Rookie_AL_05,Rookie_NL_10,2025-03-01,10:30,13:00,Aptos,Field 1
6,1,TB_14,TB_06,2025-03-01,10:30,12:00,Larsen,Field 1
7,1,TB_13,TB_12,2025-03-01,11:00,12:30,Paul Goode,Practice
8,1,AAA_NL_10,AAA_NL_09,2025-03-01,11:30,14:00,Ketcham,Field 1
9,1,Rookie_AL_03,Rookie_AL_04,2025-03-01,11:30,14:00,Tepper,Field 1
10,1,TB_11,TB_08,2025-03-01,12:00,13:30,Larsen,Field 1
11,1,TB_05,TB_09,2025-03-01,12:30,14:00,Paul Goode,Practice
12,1,AA_NL_07,AA_AL_05,2025-03-01,13:00,15:30,Aptos,Field 1
13,1,TB_02,TB_01,2025-03-01,13:30,15:00,Larsen,Field 1
14,1,AA_AL_04,AA_AL_01,2025-03-01,14:00,16:30,Tepper,Field 1
15,1,Rookie_NL_07,Rookie_NL_09,2025-03-01,14:00,16:30,Ketcham,Field 1
36,1,LF_12,LF_03,2025-03-02,13:00,15:00,Larsen,Field 1
37,1,LF_10,LF_05,2025-03-02,13:00,15:00,Rossi,Field 1
38,1,AA_NL_09,AA_NL_08,2025-03-02,14:00,16:30,Ketcham,Field 1
39,1,Majors_AL_04,Majors_AL_02,2025-03-02,16:00,18:30,Tepper,Field 1
40,2,Juniors_NL_04,Juniors_AL_01,2025-03-08,09:00,12:00,Moscone,D4
41,2,Majors_NL_06,Majors_NL_08,2025-03-08,09:00,11:30,Ketcham,Field 1
42,2,TB_12,TB_04,2025-03-08,09:00,10:30,Aptos,Field 1
43,2,Majors_AL_02,Majors_NL_09,2025-03-08,09:00,11:30,Tepper,Field 1
45,2,Rookie_NL_10,Rookie_NL_06,2025-03-08,10:30,13:00,Aptos,Field 1
46,2,TB_05,TB_01,2025-03-08,10:30,12:00,Larsen,Field 1
47,2,TB_08,TB_03,2025-03-08,11:00,12:30,Paul Goode,Practice
48,2,AAA_AL_03,AAA_AL_04,2025-03-08,11:30,14:00,Ketcham,Field 1
49,2,Rookie_AL_01,Rookie_NL_07,2025-03-08,11:30,14:00,Tepper,Field 1
50,2,TB_09,TB_13,2025-03-08,12:00,13:30,Larsen,Field 1
51,2,TB_10,TB_06,2025-03-08,12:30,14:00,Paul Goode,Practice
52,2,AA_NL_08,AA_AL_02,2025-03-08,13:00,15:30,Aptos,Field 1
53,2,TB_14,TB_02,2025-03-08,13:30,15:00,Larsen,Field 1
54,2,AA_AL_03,AA_AL_04,2025-03-08,14:00,16:30,Tepper,Field 1
55,2,Rookie_NL_09,Rookie_AL_03,2025-03-08,14:00,16:30,Ketcham,Field 1
56,2,UF_05,UF_02,2025-03-09,08:00,10:00,Fort Scott,South Diamond
57,2,UF_03,UF_07,2025-03-09,08:00,10:00,Fort Scott,North Diamond
58,2,AA_NL_07,AA_NL_10,2025-03-09,09:00,11:30,Sunset Rec,Diamond
59,2,AAA_AL_05,AAA_NL_07,2025-03-09,09:00,11:30,West Sunset,Field 3
60,2,AAA_AL_01,AAA_NL_06,2025-03-09,09:00,11:30,Ketcham,Field 1
61,2,LF_04,LF_05,2025-03-09,09:00,11:00,Larsen,Field 1
62,2,Juniors_AL_03,Juniors_AL_02,2025-03-09,09:00,12:00,Paul Goode,Main
63,2,LF_11,LF_06,2025-03-09,09:00,11:00,Rossi,Field 1
64,2,Juniors_NL_06,Juniors_NL_05,2025-03-09,09:00,12:00,West Sunset,Field 1
65,2,Majors_NL_10,Majors_AL_01,2025-03-09,09:00,11:30,Tepper,Field 1
66,2,UF_06,UF_11,2025-03-09,10:00,12:00,Fort Scott,North Diamond
67,2,UF_09,UF_01,2025-03-09,10:00,12:00,Fort Scott,South Diamond
68,2,LF_12,LF_10,2025-03-09,11:00,13:00,Larsen,Field 1
69,2,LF_09,LF_07,2025-03-09,11:00,13:00,Rossi,Field 1
70,2,Rookie_NL_08,Rookie_AL_05,2025-03-09,11:30,14:00,Ketcham,Field 1
71,2,Rookie_AL_02,Rookie_AL_04,2025-03-09,11:30,14:00,Sunset Rec,Diamond
72,2,AAA_NL_08,AAA_NL_10,2025-03-09,11:30,14:00,Tepper,Field 1
73,2,AA_AL_05,AA_NL_06,2025-03-09,11:30,14:00,West Sunset,Field 3
74,2,UF_10,UF_08,2025-03-09,12:00,14:00,Fort Scott,North Diamond
75,2,UF_04,UF_12,2025-03-09,12:00,14:00,Fort Scott,South Diamond
76,2,LF_08,LF_03,2025-03-09,13:00,15:00,Larsen,Field 1
77,2,LF_02,LF_01,2025-03-09,13:00,15:00,Rossi,Field 1
78,2,Challenger_01,Challenger_04,2025-03-09,14:00,16:00,Tepper,Field 1
79,2,AA_NL_09,AA_AL_01,2025-03-09,14:00,16:30,Ketcham,Field 1
80,2,Challenger_03,Challenger_02,2025-03-09,14:00,16:00,Riordan,Field 1
81,2,Majors_AL_04,Majors_NL_07,2025-03-09,16:00,18:30,Tepper,Field 1
82,2,Majors_AL_05,Majors_AL_03,2025-03-09,16:30,19:00,Ketcham,Field 1
83,2,Juniors_AL_02,Juniors_NL_06,2025-03-11,17:00,20:00,McCoppin,Field 1
84,2,Majors_AL_04,Majors_AL_03,2025-03-11,17:30,20:00,Tepper,Field 1
